Date,last_traded_price,max,min,avg_price,promet,volume,promet_BEST,promet_vo_denari
02.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
03.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
08.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
09.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
10.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
13.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
14.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
15.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
16.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
17.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
20.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
21.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
22.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
23.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
24.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
27.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
28.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
29.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
30.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
31.01.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
03.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
04.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
05.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
06.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
07.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
10.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
11.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
12.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
13.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
14.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
17.02.2014,"150,00",0,0,"150,00","0,00",0.0,0.0,0
